date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:06:07	107/107	---M-Z	200	added ('OK')	text/plain	etag:%22abee5dc3c757b72457d0a6fe4711d3b5%22	https://shravanpandala.framer.website/robots.txt		(from )
16:06:07	198979/198979	---M-Z	200	added ('OK')	text/html	etag:%224bd1b681cefb5f5682eb61a16902746c%22	https://shravanpandala.framer.website/	E:/Projects/Portfolio/Portfolio/shravanpandala.framer.website/index.html	(from )
16:06:07	223/223	---M--	200	added ('OK')	image/png	etag:%22810193ede98443698ba6b54575e9cf3c%22	https://framerusercontent.com/sites/icons/default-favicon-light.v1.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/sites/icons/default-favicon-light.v1.png	(from https://shravanpandala.framer.website/)
16:06:08	227/227	---M--	200	added ('OK')	image/png	etag:%22e44c40138d977deec13c54928aec692d%22	https://framerusercontent.com/sites/icons/default-favicon-dark.v1.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/sites/icons/default-favicon-dark.v1.png	(from https://shravanpandala.framer.website/)
16:06:08	8598/8598	---M--	200	added ('OK')	image/png	etag:%2218abb0c2b2ff01a1658d805c5dd98278%22	https://framerusercontent.com/sites/icons/default-touch-icon.v3.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/sites/icons/default-touch-icon.v3.png	(from https://shravanpandala.framer.website/)
16:06:08	4994/4994	---MC-	200	added ('OK')	image/png	etag:%22c0e743bc047fa044f86cf54f3605dee0%22	https://framerusercontent.com/images/nClpwUJXy76KkcrXOhfhGml7lpw.png?scale-down-to=512	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/nClpwUJXy76KkcrXOhfhGml7lpw17f5.png	(from https://shravanpandala.framer.website/)
16:06:09	447323/447323	---MC-	200	added ('OK')	image/png	etag:%22c576d51cbcd03ce2c11c20e05428be23%22	https://framerusercontent.com/images/T5KLjJHidx8MmTc7FbdBDHdZHNw.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/T5KLjJHidx8MmTc7FbdBDHdZHNw.png	(from https://shravanpandala.framer.website/)
16:06:09	7787/7787	---MC-	200	added ('OK')	image/png	etag:%223a066c844e33dbb1ed4438faf7931da7%22	https://framerusercontent.com/images/WsapR6XRCEhmivrhJWdJ8fhpPvg.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/WsapR6XRCEhmivrhJWdJ8fhpPvg.png	(from https://shravanpandala.framer.website/)
16:06:10	12886/12886	---MC-	200	added ('OK')	image/png	etag:%22b8a8239273c953343e1d9c4a579b4057%22	https://framerusercontent.com/images/S2asRRMn8KWY3eQJKuMDnlqjmWc.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/S2asRRMn8KWY3eQJKuMDnlqjmWc.png	(from https://shravanpandala.framer.website/)
16:06:10	10816/10816	---MC-	200	added ('OK')	image/png	etag:%2226ad634a8cd77833e7701be254b7f1a6%22	https://framerusercontent.com/images/YYAYBsO6uSXCk1GFh7aMXaQDIbQ.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/YYAYBsO6uSXCk1GFh7aMXaQDIbQ.png	(from https://shravanpandala.framer.website/)
16:06:10	8717/8717	---MC-	200	added ('OK')	image/png	etag:%22181fa14dbc9bd7d84bfea4b8deca7d90%22	https://framerusercontent.com/images/Ord7yuxGEkl01GLKEYVeCCk9M.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/Ord7yuxGEkl01GLKEYVeCCk9M.png	(from https://shravanpandala.framer.website/)
16:06:12	383805/383805	---MC-	200	added ('OK')	image/png	etag:%22e68ef9914a82cb0cff1fb209b821faff%22	https://framerusercontent.com/images/ZjjLCnQW2SYQemU1czIMxrHDM.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/ZjjLCnQW2SYQemU1czIMxrHDM.png	(from https://shravanpandala.framer.website/)
16:06:13	237623/237623	---MC-	200	added ('OK')	image/png	etag:%22340be092344cc1c8a049aef43151d126%22	https://framerusercontent.com/images/YVSJFWhKv2T7CZ3fqoodlfQ4.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/YVSJFWhKv2T7CZ3fqoodlfQ4.png	(from https://shravanpandala.framer.website/)
16:06:14	253947/253947	---MC-	200	added ('OK')	image/png	etag:%22c79af3b5201847ae09182859f5d662be%22	https://framerusercontent.com/images/o66jQK06J6jbVRWl2xmJc9Zoo.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/o66jQK06J6jbVRWl2xmJc9Zoo.png	(from https://shravanpandala.framer.website/)
16:06:19	714464/714464	---MC-	200	added ('OK')	image/png	etag:%222d228f72b94a1f03a538efa4bec37e10%22	https://framerusercontent.com/images/fY4TPAQ7KyBoBIozOi6k32KBY38.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/fY4TPAQ7KyBoBIozOi6k32KBY38.png	(from https://shravanpandala.framer.website/)
16:06:21	685760/685760	---MC-	200	added ('OK')	image/png	etag:%2246448429bdf1bf53c98cf796f73b9102%22	https://framerusercontent.com/images/1JDzRX6wbqJ7jR96Dwxhq60H2k.png	E:/Projects/Portfolio/Portfolio/framerusercontent.com/images/1JDzRX6wbqJ7jR96Dwxhq60H2k.png	(from https://shravanpandala.framer.website/)
